ID,Age,Income,Score
1,80,134444,75.51358361442726
2,63,90162,70.35620722140453
3,80,146417,79.51372039275063
4,20,29729,71.95313183379902
5,46,99923,61.258659875816846
6,52,123340,73.21928128837028
7,56,52629,83.83113389296552
8,35,109833,69.26935676833804
9,37,115536,93.77980186333293
10,60,76376,81.27881588066855
11,77,46587,78.0124542465663
12,75,148945,77.5265879746706
13,40,28534,68.52523473772669
14,51,133155,73.79613346558934
15,50,84579,98.48093738139863
16,67,147115,51.095633523583516
17,80,71861,57.7061924993248
18,65,88057,82.30831922414598
19,27,113799,77.30677080160791
20,50,29705,81.23487961655333
21,64,25474,80.67245466513623
22,50,146979,54.1898943268185
23,65,91563,57.528647024536866
24,43,129827,70.9109241322332
25,37,49427,80.4748476540049
26,32,47640,57.39559501095895
27,79,29438,76.49554793657116
28,54,134950,93.26634724561686
29,50,100137,87.8285415653923
30,34,37495,60.704896310120674
31,22,127534,74.58603555760837
32,67,67078,75.46507869013011
33,73,133107,74.54331923701086
34,21,80281,67.44161237133271
35,20,53990,48.434881135139804
36,38,59052,78.01051465872676
37,57,118742,68.1742325631019
38,20,55355,60.934770811047315
39,38,96582,80.2071920089797
40,65,60337,80.14600767105415
41,74,32221,62.403414211697196
42,79,71054,71.14512032022274
43,66,40298,82.58383080403178
44,25,110979,37.15358165141313
45,59,105620,62.80737274886611
46,53,138883,71.30498038203947
47,78,136929,76.2348275187299
48,46,88399,69.66904130926353
49,70,137229,80.67914291474305
50,56,65072,71.51387393214004
51,51,54437,68.14968625340286
52,39,116616,100.54368341676198
53,72,29325,70.51849253718206
54,48,123510,65.47604789610536
55,45,24142,93.55988336075133
56,52,126767,69.00761049071276
57,51,72539,79.98081540935937
58,30,34632,62.41774386437153
59,58,113593,94.13998790940718
60,21,64333,73.59236771489596
61,60,138193,72.60648027527422
62,23,83232,46.761073545714616
63,18,62403,51.756636840263184
64,29,23997,74.23416341894617
65,52,117665,70.01835296465305
66,76,37363,95.76313100941618
67,28,45412,55.71464982878485
68,40,117182,91.47859984873446
69,31,118183,64.95517658460079
70,36,130429,65.98644181962047
71,54,136198,83.93222004060152
72,33,46684,80.11877653607448
73,61,20321,66.30956496638213
74,45,73108,98.98401829599395
75,79,57630,64.98609669694808
76,62,103916,91.02473236544692
77,48,94051,89.9878600026483
78,70,118092,80.25211223390228
79,24,143699,83.31080410803351
80,63,31911,75.22367742682523
81,69,94726,74.3099054797947
82,44,138872,55.66626688192375
83,34,83430,69.07533939011284
84,24,101037,65.55706366518952
85,32,114620,88.01994421310263
86,70,41868,63.6946428099571
87,57,21343,91.56255131270058
88,29,49012,85.98565039240327
89,72,138692,77.36944565308488
90,25,109719,91.47149579578152
91,19,108560,74.90341593516607
92,61,38912,65.0756833509888
93,76,86937,80.23320466989948
94,55,69576,65.68044143493725
95,73,68600,97.66338043351489
96,43,67988,80.3978364662813
97,68,47386,74.08525766358254
98,38,68063,55.08136158769008
99,74,140890,72.58118827059113
100,67,44045,77.10780194413417
