ID,Age,Income,Score
1,21,33716,82.01901844338309
2,35,64960,91.36459118642296
3,23,54245,65.80741574010793
4,67,27406,17.012688767090822
5,44,41321,33.69161527917062
6,35,74772,39.119330707130274
7,24,13600,7.329077812368656
8,71,43566,45.67670702014537
9,75,68989,57.31685145105314
10,73,36999,33.6106099309834
11,20,39817,18.90618695780765
12,42,48579,8.815729492607606
13,52,72371,62.83175227307927
14,53,40416,1.282910925261338
15,39,43340,35.19136830982011
16,39,43485,22.91297644802842
17,72,83089,53.19974906817646
18,21,82802,72.36633511192414
19,28,65061,90.91532756367793
20,26,55793,63.880083924310135
21,39,61061,99.17930997519157
22,53,72361,96.40591723038818
23,39,35962,62.99907097242456
24,62,67637,23.33731840861596
25,33,31192,48.38114826431467
26,28,40434,17.758973057390502
27,18,63607,99.19577727942169
28,75,28570,44.449992014907416
29,45,47899,75.165015802753
30,67,37074,4.412985600644392
31,23,46166,13.472760063663358
32,74,8021,19.317697004235367
33,56,23427,25.63623472965425
34,42,39502,35.20475304496762
35,22,63912,27.19298523267516
36,18,47395,43.426858361265374
37,38,50043,42.0357316735054
38,64,60323,10.862083448160165
39,46,36807,6.260877482831684
40,24,54254,35.50614469278791
41,75,37920,8.878890486736225
42,20,24085,43.32003138771612
43,23,44137,0.8561214772869308
44,60,58607,53.58010186065645
45,27,55079,7.3483992715052455
46,26,49823,69.4205914699235
47,68,85885,40.42072670842474
48,76,56194,98.53481748883274
49,19,64681,26.254001971904994
50,36,83572,47.25107404070433
51,76,30589,75.08149412392692
52,45,34418,33.48305405234663
53,54,76156,34.83670206650514
54,48,38029,63.91279372281128
55,34,50445,96.96860772658779
56,48,66040,88.388013812289
57,71,63361,41.90378193873651
58,20,76323,71.77179073521607
59,67,72435,67.90519516466868
60,37,66041,37.21096192953053
61,39,38409,23.496343749846517
62,51,61923,7.837647814122528
63,69,54714,87.89089368844193
64,48,30106,5.715921340929664
65,31,71259,51.86961247564001
66,70,62109,53.75363775056881
67,56,50682,14.613923366160774
68,58,46504,65.59317169521111
69,51,32025,91.58231935739136
70,54,52993,77.61329698240371
71,69,57027,38.925926661855115
72,79,37533,12.646995883375812
73,38,67433,97.4929566217395
74,18,33542,51.71034866539107
75,43,18153,62.96176252275833
76,75,65596,80.22766455210378
77,67,43950,38.624616289274584
78,59,48110,6.2055764655473915
79,50,37437,13.60157911087615
80,45,25911,66.84471370325411
81,61,68829,34.953968561980034
82,52,39667,87.10772077623383
83,58,74914,74.01645088205959
84,68,62110,98.0439146690266
85,60,45279,66.883435436449
86,56,33711,30.380577913678263
87,74,39013,79.11091579073943
88,71,31812,2.8258034278284105
89,49,81307,52.15907717112922
90,51,52467,87.1394667899926
91,60,67253,51.471914020611564
92,44,30990,13.737149792589898
93,41,52716,50.012251067740856
94,50,67668,54.54577410692435
95,20,44975,36.90005483098646
96,72,65467,89.34335602088669
97,66,33731,34.00808505181736
98,59,29548,27.17513883845203
99,29,55691,50.630148681431464
100,64,44312,20.327205126356084
